CBO;Cargo;Jornada;Piso;Teto
992115;Emendador de câmaras de ar;25;1.411,89;2.091,44
784105;Empacotador, a mão;35;1.382,11;2.047,33
784110;Empacotador, a máquina;27;1.438,97;2.131,56
622020;Empreiteiro - na cultura;32;1.368,45;2.027,11
784105;Encaixotador, a mão;35;1.382,11;2.047,33
724115;Encanador de manutenção;20;1.345,20;1.992,66
724115;Encanador industrial;20;1.345,20;1.992,66
422105;Encarregado da recepção;33;1.413,33;2.093,58
848510;Encarregado de açougue;34;1.454,84;2.155,08
414125;Encarregado de estoque;27;1.358,70;2.012,66
414135;Encarregado de expedição;31;1.412,46;2.092,30
620105;Encarregado de horticultura;30;1.340,04;1.985,02
620105;Encarregado de hortifrutigrangeiros;30;1.340,04;1.985,02
